deflag,g1_15_AQ,g1_25_AQ,g2_38_CL,g2_37_CL,g4_61_LF,g4_68_LF,g5_86_PE,g5_99_PE
0,0.404831658,-0.089145672,17.54474599,0.035810918,0.549486374,0.231579771,0.996933278,0.053664152
0,NA,NA,14.44863926,NA,0.902660375,NA,NA,0.117930924
0,3.785211254,NA,25.11056843,0.120369443,0.359872886,NA,NA,0.184672079
0,1.655224348,0.086712174,11.9672481,0.047266132,0.486541539,0.261039609,1.009288866,-0.012834113
0,NA,NA,15.01599416,NA,0.485729894,NA,NA,0.11778963
0,NA,NA,NA,0.082138284,NA,0.63677041,1.041041217,0.239309336
0,8.25530887,-0.021559344,15.67095519,0.136412039,1.307028244,0.021914531,1.031770775,0.185188845
0,NA,NA,19.16430396,0.089511047,NA,NA,1.019968797,0.051799873
0,NA,NA,15.11475795,NA,1.283216987,NA,NA,0.140137951
0,NA,NA,10.42659986,NA,0.849021722,NA,NA,0.024437958
0,1.564235753,0.716947999,7.311603937,0.028086083,0.91310421,0.43946329,1.005682791,0.117339613
1,-2.440622018,0.681490937,NA,NA,NA,0.091986779,0.998091328,NA
0,1.755752449,0.170717812,15.19684539,0.077333373,0.646851617,0.153269199,1.008339813,-0.001903895
0,6.077840514,0.142654015,NA,NA,NA,0.074685473,1.051077936,NA
0,-0.615997197,0.856772487,15.21344904,0.055075372,1.08588276,0.400771337,1.000798756,0.110115012
0,-0.014857543,0.120871764,20.52914286,0.040165151,0.521988615,0.341372282,1.009206674,0.12359474
0,0.858254084,0.122374494,NA,NA,1.32077143,0.196533946,1.012994992,0.087732576
1,NA,NA,NA,NA,NA,NA,NA,NA
0,9.997160548,-0.10067989,26.14147565,0.202812881,0.590718028,0.153414615,1.014825586,0.117334964
0,NA,NA,NA,0.158564433,1.581611094,NA,NA,0.076437459
0,NA,NA,NA,NA,NA,NA,NA,NA
0,0.67849208,-0.145008866,22.59581454,0.176561478,0.843681167,0.18007698,0.992025547,0.152387498
0,NA,NA,NA,NA,NA,NA,NA,NA
0,1.317144838,-0.119359798,15.36584979,0.135650884,1.114545689,0.241423027,1.013889551,0.094439079
0,0.013601667,0.67706424,10.5029894,0.040239795,0.7815719,0.132345146,1.010346306,0.107043639
0,0.832696569,-0.051048369,27.93610768,0.077314968,0.965836132,0.268808677,0.982437244,0.187652199
0,NA,0.475897302,NA,0.043961273,NA,NA,NA,NA
1,NA,NA,NA,0.01880786,1.288395019,NA,NA,-0.042600635
0,2.939400923,0.149087977,NA,NA,0.373727174,0.360552502,1.013122381,-0.039489736
0,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,3.754332646,NA,0.742579014,NA,NA,0.09383099
0,7.028118751,-0.128556979,28.9145026,0.084372236,0.481503491,0.01938397,1.060615166,0.065312609
1,NA,NA,NA,NA,1.259465212,0.043329192,NA,0.018365726
0,2.764383326,-0.090761025,NA,NA,1.333600325,0.091730814,0.997685536,0.045402564
0,NA,NA,NA,0.052562057,NA,-0.212293967,1.032645708,-0.022363324
0,0.457725844,0.745281737,-0.025041159,0.023136605,0.802645244,0.261393013,1.033194835,0.063436157
0,2.218689293,0.174203757,28.4380112,0.122179088,0.721870581,0.142912054,0.98407608,0.055968792
0,3.102216033,NA,15.52466625,0.118925583,NA,NA,NA,NA
0,0.700806956,0.398905006,10.00655181,0.029022971,0.248187023,0.420704019,1.06562087,0.31757267
0,-0.818398028,NA,18.46322202,0.035212453,0.619628654,NA,NA,0.046823927
0,-0.551785582,-0.089994432,24.678668,0.148793094,1.048507622,0.236952892,1.012579086,0.079207025
